メタプログラミングRuby	4774135666	技術	運用	2,919		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4774135666/ref=sr_1_1?s=books&ie=UTF8&qid=1342750854&sr=1-1
[Web開発者のための]大規模サービス技術入門 ―データ構造、メモリ、OS、DB、サーバ/インフラ (WEB+DB PRESS plusシリーズ)	978-4-7741-4307-1	技術	基礎	2,709		2013年5月	済			honto	http://www.amazon.co.jp/dp/4774143073
3分間HTTP&メールプロトコル基礎講座	978-4774140810	技術		2,394		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774140813/
７日間でマスターするレイアウト基礎講座	4-88108-143-8	デザイン	基礎	1,890		2013年7月	済			honto	http://www.amazon.co.jp/dp/4881081438
Amazon Web Services ガイドブック クラウドでWebサービスを作ろう！	978-4844329800	技術		3,570		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4844329804/
Amazon Web Services クラウドデザインパターン 設計ガイド	978-4822211967	技術		2,520		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4822211967/
Amazon Web Services クラウドデザインパターン実装ガイド	978-4822211981	技術		3,990		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4822211983/
Amazon Web Servicesプログラミング ―APIの基礎からElastic Beanstalkの利用まで	978-4-87311-581-8	技術	AWS	3,360		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873115817
Apache Lucene 入門	978-4774127804	技術		7,800		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774127809/
Apache Solr入門	978-4774141756	技術		3,780		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774141755/
Bandit Algorithms for Website Optimization	978-1449341336	技術	アルゴリズム	1,663		2013年7月	済			Amazon	http://www.amazon.co.jp/dp/1449341330
Chef実践入門 ~コードによるインフラ構成の自動化 (WEB+DB PRESS plus) [単行本（ソフトカバー）]	978-4774165004			2,992		2014年6月	済				http://www.amazon.co.jp/dp/477416500X
CloudStack徹底入門	978-4-7981-3058-3	技術	基礎	3,990		2013年5月	済			honto	http://www.amazon.co.jp/dp/4798130583
CSS3 スタンダード・デザインガイド	4839938296	デザイン	基礎	2,940		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4839938296/ref=pd_bxgy_b_img_b
CSS3デザインブック 仕事で絶対に使うプロのテクニック	4844362534	デザイン	基礎	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4844362534/ref=pd_ybh_18
Emacs実践入門	978-4774150024	技術	エディタ	2,604		2013年8月	済			Amazon	http://amzn.to/1cs05Ft
FuelPHP入門	978-4881669419	技術	PHP	2,709		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4881669419/ref=sr_1_1?s=books&ie=UTF8&qid=1344474467&sr=1-1
GitHub実践入門 ~Pull Requestによる開発の変革 (WEB+DB PRESS plus) [単行本（ソフトカバー）]	978-4774163666			2,786		2014年8月	済				http://www.amazon.co.jp/dp/477416366X/
ＨＡＣＫＩＮＧ：美しき策謀 脆弱性攻撃の理論と実際 第２版	978-4-87311-514-6	技術	運用	4,410		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873115140
Head Firstデザインパターン ―頭とからだで覚えるデザインパターンの基本	4873112494	デザイン	基礎	4,830		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4873112494/ref=sr_1_1?s=books&ie=UTF8&qid=1342744543&sr=1-1
HTML5 インタラクティブ表現ガイド	978-4774157665	技術	HTML5	2,709		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/477415766X
HTML5 ジオロケーション――Webアプリケーションに地理情報をもたらす	978-4-87311-523-8	技術	HTML5	1,680		2012年8月	済			Oreilly	http://www.oreilly.co.jp/books/9784873115238/
HTML5＆CSS3実践入門 最新Web標準を使いこなす (The Pragmatic Programmers)	4844330489	デザイン	基礎	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4844330489/ref=sr_1_1?s=books&ie=UTF8&qid=1342056903&sr=1-1
HTTPの教科書	978-4798126258	技術		2,730		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/479812625X
ＩＡシンキング Ｗｅｂ制作者・担当者のためのＩＡ思考術	978-4-86267-106-6	デザイン	基礎	2,940		2013年7月	済			honto	http://www.amazon.co.jp/dp/4862671063
ITシステム開発徹底攻略	978-4774156156	技術	その他	1,974		2013年8月	済			Amazon	http://amzn.to/13tYMwB
JavaScript 第6版 [大型本]	978-4-87311-573-3	技術	Java Script	4,410		2013年5月	済			honto	http://www.amazon.co.jp//dp/4873115736/
JavaScript徹底攻略	978-4774154893	技術	JavaScript	1,974		2013年8月	済			Amazon	http://amzn.to/162TGdH
Jenkins実践入門 ~ビルド・テスト・デプロイを自動化する技術 (WEB+DB PRESS plus)	4774148911	技術	運用	2,919		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4774148911/ref=pd_sim_b_8
jQueryデザインブック 仕事で絶対に使うプロのテクニック	4844362135	技術	JavaScript	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4844362135/ref=sr_1_2?s=books&ie=UTF8&qid=1342056710&sr=1-2
Lean UX ―リーン思考によるユーザエクスペリエンス・デザイン (THE LEAN SERIES)	978-4873116617			2,376		2014年10月					http://www.amazon.co.jp/dp/4873116619
Linuxエンジニア養成読本	978-4774146010	技術	Linux	1,974		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774146013
Linuxデバイスドライバ 第3版 [単行本]		技術	Linux	5,775		2012年12月	済		新間	Amazon	http://www.amazon.co.jp/dp/4873112532/
Linux高信頼サーバ構築ガイド クラスタリング編 (Industrial Computing Series)	978-4881669419	技術	Linux	3,780		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4789840883/
Mobageを支える技術	978-4774151113	技術	その他	2,919		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774151114
MongoDB & PHP	978-4-87311-551-1	技術	DB	1,365		2012年8月	済			Oreilly	http://www.oreilly.co.jp/books/9784873115511/
MySQLによるタフなサイトの作り方	4797353937	技術	DB	3,360		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4797353937/ref=sr_1_6?s=books&ie=UTF8&qid=1342751046&sr=1-6
MySQL徹底入門 第3版 ~5.5新機能対応~	978-4798124230	技術		3,654		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4798124230
Nonparametric Econometrics	978-0521586115	技術	計量経済学	5,419		2013年7月	済			Amazon	http://www.amazon.co.jp/dp/0521586119
NoSQLデータベースファーストガイド	4798029599	技術	DB	2,310		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4798029599/ref=sr_1_1?s=books&ie=UTF8&qid=1342057675&sr=1-1
Perl徹底攻略 (WEB+DB PRESS plus)	978-4774158648	技術	Perl	2,289		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/477415864X
PHP 逆引きレシピ (PROGRAMMER’S RECiPE)	4798119865	技術	PHP	2,730		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4798119865/ref=pd_sim_b_4
PHPによるWebアプリケーションスーパーサンプル 第2版	479733245X	技術	PHP	3,990		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/479733245X/ref=pd_sim_b_1
PHPによる機械学習入門	978-4897979595			3,888		2014年7月	済				http://www.amazon.co.jp/gp/product/4897979595/ref=as_li_ss_tl?ie=UTF8&camp=247&creative=7399&creativeASIN=4897979595&linkCode=as2&tag=gessy0129-22
PROFESSIONAL アクセス解析	978-4-7741-4633-1	技術	ログ解析	2,919		2013年5月	済			honto	http://www.amazon.co.jp/dp/4774146331/
Python for Data Analysis	978-1449319793	技術	Python	3,954		2013年7月	済			Amazon	http://www.amazon.co.jp/dp/1449319793
RailsによるアジャイルWebアプリケーション開発 第4版	4274068668	技術	Ruby	3,360		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4274068668/ref=sr_1_1?s=books&ie=UTF8&qid=1342057129&sr=1-1
Redmineによるタスクマネジメント実践技法 [大型本]	978-4798121628			3,542		2014年7月	済				http://www.amazon.co.jp/dp/4798121622/
RとRubyによるデータ解析入門	978-4-87311-615-0	技術	R, Ruby	2,940		2013年5月	済			honto	http://www.amazon.co.jp/dp/4873116155/
Rの基礎とプログラミング技法	978-4-621-06131-2	技術	R	3,675		2013年5月	済			honto	http://www.amazon.co.jp/gp/product/4621061313
R流!イメージで理解する統計処理入門―データ解析の初歩から、シミュレーション、統計アプリの作成方法まで	978-4-87783-229-2	技術	R	3,990		2013年5月	済			honto	http://www.amazon.co.jp/gp/product/4877832297
SEを極める50の鉄則	4822207773	技術	基礎	1,785		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4822207773/
SLAの作成法―サービス・レベル・アグリーメント [単行本]		その他	その他	2,310		2012年12月	済		西脇 持出：2013/01/17	Amazon	http://www.amazon.co.jp/dp/4883732525/
Software Design 総集編 【2001~2012】	978-4774155937	技術		2,079		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774155934/
